Date,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: CB1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: CB2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: MB:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: LD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: MB IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),THERMAL ZONE: CB2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly)
 06/07  21:00:00,18.30833333,26.00643985,25.99446839,26,34.48854185,0,4452996.693,0,0,0,5193010.323,5.77E-08,2094032.169,1190520,312120
 06/07  22:00:00,17.925,26,26,26,25.99647109,0,3374696.422,0,7285947.502,0,2248254.49,2.57E-08,1267086.624,1294560,416160
 06/07  23:00:00,17.68333333,26,26,28.0809583,26,0,0,0,2856774.494,0,1387358.927,1.40E-08,875165.7157,557280,208080
 06/07  24:00:00,17.425,27.58203404,27.50498402,28.14042007,28.39124944,0,0,0,0,0,0,0,0,687600,0
 06/08  01:00:00,17.125,27.69893325,27.59594459,27.72664052,28.63093476,0,0,0,0,0,0,0,0,349200,0
 06/08  02:00:00,16.88333333,27.504668,27.34664561,27.30123282,28.34158781,0,0,0,0,0,0,0,0,349200,0
 06/08  03:00:00,16.625,27.24496722,27.01180121,26.8911893,27.99268625,0,0,0,0,0,0,0,0,349200,0
 06/08  04:00:00,16.38333333,26.93986785,26.62904903,26.47954259,27.61325657,0,0,0,0,0,0,0,0,349200,0
 06/08  05:00:00,16.125,26.60610682,26.21716753,26.0657658,27.2200906,0,0,0,0,0,0,0,0,349200,0
 06/08  06:00:00,15.88333333,26.36013929,25.9616324,25.71933722,26.87499295,0,0,0,0,0,0,0,0,349200,0
 06/08  07:00:00,16.79166667,26.83638564,26.82776579,25.95650521,26.10487884,0,0,0,0,0,0,0,0,453240,104040
 06/08  08:00:00,18.49166667,27.72709909,28.58324143,27.36042105,26.29613904,0,0,0,0,0,0,0,0,1064520,186120
 06/08  09:00:00,20.19166667,29.27342337,30.53225997,27.92251893,26.9591699,0,0,0,0,0,0,0,0,921240,104040
 06/08  10:00:00,21.075,30.81055401,32.15361945,28.48296561,27.94299118,0,0,0,0,0,0,0,0,349200,0
 06/08  11:00:00,21.375,32.05881179,33.10267675,29.70310183,29.24018282,0,0,0,0,0,0,0,0,349200,0
 06/08  12:00:00,21.675,32.85146034,33.33068722,31.11738579,30.61753204,0,0,0,0,0,0,0,0,349200,0
 06/08  13:00:00,22.09166667,33.46633695,33.36664124,32.55254365,31.90965355,0,0,0,0,0,0,0,0,453240,104040
 06/08  14:00:00,22.59166667,34.17964686,33.54119739,34.2836475,33.4822622,0,0,0,0,0,0,0,0,453240,104040
 06/08  15:00:00,23.09166667,34.8396693,33.81061823,35.98058899,35.24688954,0,0,0,0,0,0,0,0,349200,0
 06/08  16:00:00,23.475,35.42539519,34.10296358,37.91119393,37.09179248,0,0,0,0,0,0,0,0,349200,0
 06/08  17:00:00,23.775,35.935394,34.38451931,39.82610019,38.78636361,0,0,0,0,0,0,0,0,453240,104040
 06/08  18:00:00,24.075,36.34563806,34.72477255,41.17439346,39.86497336,0,0,0,158736.9371,0,0,0,0,1086480,208080
 06/08  19:00:00,23.79166667,36.50522563,34.91803575,26.08824818,39.91694725,0,18674783.26,0,168256.6172,0,0,0,0,1118520,240120
 06/08  20:00:00,23.15,36.17175708,34.74657783,26.00000017,38.71390823,0,7331968.941,0,0,0,0,0,0,6580440,104040
 06/08  21:00:00,22.49166667,26.0304714,26.02172442,26,36.82561351,0,5646099.129,0,0,0,7162315.448,6.42E-08,3533688.696,1190520,312120
 06/08  22:00:00,22.08333333,26,26,26,26.02833947,0,4394761.914,0,9228795.539,0,3196091.468,4.97E-08,2147905.372,1294560,416160
 06/08  23:00:00,21.94166667,26,26,28.81313595,26,0,0,0,3805386.674,0,2026140.864,3.46E-08,1535223.894,557280,208080
 06/08  24:00:00,21.78333333,28.50593263,28.7867363,29.4729951,29.29346381,0,0,0,0,0,0,0,0,687600,0
 06/09  01:00:00,21.35,28.92958671,29.26572682,29.20604271,29.84849486,0,0,0,0,0,0,0,0,349200,0
 06/09  02:00:00,20.69166667,28.89323986,29.18827759,28.85636113,29.70538358,0,0,0,0,0,0,0,0,349200,0
 06/09  03:00:00,20.05,28.74370773,28.94461445,28.51661958,29.45514154,0,0,0,0,0,0,0,0,349200,0
